date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:49	266799/266799	---M--	200	added ('OK')	image/png	etag:%225820865-4122f-549b13f901700%22	https://www.surfprescriptions.com/boards/flyingturtle-front.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/flyingturtle-front.png	(from https://www.surfprescriptions.com/boards.html)
13:04:49	4613/4613	---M-Z	200	added ('OK')	text/html	etag:%225820880-1205-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/bushwacker.html	D:/Downloads/Surf/www.surfprescriptions.com/bushwacker.html	(from https://www.surfprescriptions.com/boards.html)
13:04:49	4548/4548	---M-Z	200	added ('OK')	text/html	etag:%22582089a-11c4-549b13f530e00-gzip%22	https://www.surfprescriptions.com/oldschool.html	D:/Downloads/Surf/www.surfprescriptions.com/oldschool.html	(from https://www.surfprescriptions.com/boards.html)
13:04:50	274116/274116	---M--	200	added ('OK')	image/png	etag:%22582087a-42ec4-549b13f719280%22	https://www.surfprescriptions.com/boards/bushwacker.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/bushwacker.png	(from https://www.surfprescriptions.com/boards.html)
13:04:50	4585/4585	---M-Z	200	added ('OK')	text/html	etag:%22582085c-11e9-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/caltwin.html	D:/Downloads/Surf/www.surfprescriptions.com/caltwin.html	(from https://www.surfprescriptions.com/boards.html)
13:04:50	4606/4606	---M-Z	200	added ('OK')	text/html	etag:%225820853-11fe-549b13f625040-gzip%22	https://www.surfprescriptions.com/twin82.html	D:/Downloads/Surf/www.surfprescriptions.com/twin82.html	(from https://www.surfprescriptions.com/boards.html)
13:04:51	226756/226756	---M--	200	added ('OK')	image/png	etag:%225820878-375c4-549b13f901700%22	https://www.surfprescriptions.com/boards/caltwin.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/caltwin.png	(from https://www.surfprescriptions.com/boards.html)
13:04:51	313136/313136	---M--	200	added ('OK')	image/png	etag:%225820864-4c730-549b13ffae6c0%22	https://www.surfprescriptions.com/boards/twin82.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/twin82.png	(from https://www.surfprescriptions.com/boards.html)
13:04:51	1771/1771	---M--	200	added ('OK')	text/css	etag:%225820847-6eb-549b14037efc0%22	https://www.surfprescriptions.com/slick/slick.css	D:/Downloads/Surf/www.surfprescriptions.com/slick/slick.css	(from https://www.surfprescriptions.com/fmoney.html)
13:04:52	259704/259704	---M--	200	added ('OK')	image/png	etag:%225820868-3f678-549b13feba480%22	https://www.surfprescriptions.com/boards/seahawk.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/seahawk.png	(from https://www.surfprescriptions.com/boards.html)
13:04:54	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	D:/Downloads/Surf/code.jquery.com/jquery-migrate-1.2.1.min.js	(from https://www.surfprescriptions.com/fmoney.html)
13:04:58	307944/307944	---M--	200	added ('OK')	image/png	etag:%22582086b-4b2e8-549b13fdc6240%22	https://www.surfprescriptions.com/boards/oldschooltwin.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/oldschooltwin.png	(from https://www.surfprescriptions.com/boards.html)
13:04:58	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-1787d%22	http://code.jquery.com/jquery-1.11.0.min.js	D:/Downloads/Surf/code.jquery.com/jquery-1.11.0.min.js	(from https://www.surfprescriptions.com/fmoney.html)
13:04:58	41953/41953	---M--	200	added ('OK')	application/javascript	etag:%22582084b-a3e1-549b140473200%22	https://www.surfprescriptions.com/slick/slick.min.js	D:/Downloads/Surf/www.surfprescriptions.com/slick/slick.min.js	(from https://www.surfprescriptions.com/fmoney.html)
13:04:58	141449/141449	---M--	200	added ('OK')	image/png	etag:%22582086c-22889-549b13f9f5940%22	https://www.surfprescriptions.com/boards/fmoney-back.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/fmoney-back.png	(from https://www.surfprescriptions.com/fmoney.html)
13:05:00	158798/158798	---M--	200	added ('OK')	image/png	etag:%22582086e-26c4e-549b13fbdddc0%22	https://www.surfprescriptions.com/boards/ndr-back.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/ndr-back.png	(from https://www.surfprescriptions.com/ndr.html)
13:05:00	148608/148608	---M--	200	added ('OK')	image/png	etag:%225820867-24480-549b13fae9b80%22	https://www.surfprescriptions.com/boards/gmoneyii-back.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/gmoneyii-back.png	(from https://www.surfprescriptions.com/gmoney.html)
13:05:01	158637/158637	---M--	200	added ('OK')	image/png	etag:%225820871-26bad-549b13fbdddc0%22	https://www.surfprescriptions.com/boards/newbuddy-back.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/newbuddy-back.png	(from https://www.surfprescriptions.com/newbuddy.html)
